checked_at,generated_at,section,rank,total,places,score,priority,consent,enrolled
2026-08-22T10:27:56,22.08.2026 12:47:55,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T10:48:07,22.08.2026 13:17:20,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T11:24:34,22.08.2026 13:48:12,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T12:19:25,22.08.2026 14:48:00,"Лица, поступающие по общему конкурсу (мест: 200)",150,200,200,94,1,да,нет
2026-08-22T13:04:03,22.08.2026 15:18:14,"Лица, поступающие по общему конкурсу (мест: 200)",150,200,200,94,1,да,нет
2026-08-22T13:38:32,22.08.2026 15:50:13,"Лица, поступающие по общему конкурсу (мест: 200)",150,200,200,94,1,да,нет
2026-08-22T13:55:32,22.08.2026 16:17:54,"Лица, поступающие по общему конкурсу (мест: 200)",153,200,200,94,1,да,нет
2026-08-22T14:10:37,22.08.2026 16:49:08,"Лица, поступающие по общему конкурсу (мест: 200)",154,200,200,94,1,да,нет
2026-08-22T14:35:25,22.08.2026 17:17:52,"Лица, поступающие по общему конкурсу (мест: 200)",155,200,200,94,1,да,нет
2026-08-22T15:05:17,22.08.2026 17:49:30,"Лица, поступающие по общему конкурсу (мест: 200)",155,200,200,94,1,да,нет
2026-08-22T15:47:24,22.08.2026 18:19:32,"Лица, поступающие по общему конкурсу (мест: 200)",155,200,200,94,1,да,нет
2026-08-22T15:58:57,22.08.2026 18:19:32,"Лица, поступающие по общему конкурсу (мест: 200)",155,200,200,94,1,да,нет
2026-08-22T16:20:18,22.08.2026 18:48:47,"Лица, поступающие по общему конкурсу (мест: 200)",155,200,200,94,1,да,нет
2026-08-22T16:44:03,22.08.2026 19:17:21,"Лица, поступающие по общему конкурсу (мест: 200)",156,200,200,94,1,да,нет
2026-08-22T16:59:45,22.08.2026 19:17:21,"Лица, поступающие по общему конкурсу (мест: 200)",156,200,200,94,1,да,нет
2026-08-22T17:20:30,22.08.2026 19:48:48,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T17:40:36,22.08.2026 20:17:26,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T17:55:56,22.08.2026 20:17:26,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T18:14:02,22.08.2026 20:48:28,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T18:48:44,22.08.2026 21:17:38,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T19:08:59,22.08.2026 21:17:38,"Лица, поступающие по общему конкурсу (мест: 200)",157,200,200,94,1,да,нет
2026-08-22T19:47:48,22.08.2026 22:18:40,"Лица, поступающие по общему конкурсу (мест: 200)",156,200,200,94,1,да,нет
2026-08-22T19:59:28,22.08.2026 22:18:40,"Лица, поступающие по общему конкурсу (мест: 200)",156,200,200,94,1,да,нет
2026-08-22T20:20:56,22.08.2026 22:48:30,"Лица, поступающие по общему конкурсу (мест: 200)",158,200,200,94,1,да,нет
2026-08-22T20:43:26,22.08.2026 23:18:02,"Лица, поступающие по общему конкурсу (мест: 200)",158,200,200,94,1,да,нет
